source_file,row_no,raw_description,txn_type,txn_date,notified_over_30d,amount_min,amount_max,amount_bracket,owner,asset_type,source_note
ProPublica-Trump,332,Indiana Fln Auth Health Fac Rev Bds Hendricks Regl Hlth 2024 5.000% 03/01/41 B/e Dtd 09/12/24 Clb Solicited Order Yld 3.937 To Par,purchase,2025-12-01,,250001,500000,"$250,001 - $500,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,333,GENERAL MTRS FINL CO INC PER 5.7500%,purchase,2025-05-08,,50001,100000,"$50,001 - $100,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,334,Idaho Health Facs Auth Rev Bds St Lukes Health Sys Ltd 2025a 5.000% 03/01/43 B/e Dtd 02/12/25 Clb Solicited Order Yld 3.974 To Par,purchase,2025-12-01,,250001,500000,"$250,001 - $500,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,335,GENERAL MTRS FINL CO INC PER 6.5000%,purchase,2025-05-08,,50001,100000,"$50,001 - $100,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,336,GOLDMAN SACHS GROUP INC PERP 7.5000% 12/31/49,purchase,2025-05-08,,100001,250000,"$100,001 - $250,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,337,Hutto Tex Indpt Sch Dst Unitd Tax Bldg Bds 2025 5.000% 08/01/45 B/e Dtd 07/08/25 Clb Solicited Order Yld 4.054 To Par,purchase,2025-12-01,,250001,500000,"$250,001 - $500,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,338,Fort Lauderdale Fla Spl Oblig Bds Pub Safety Mun Impt Proj 2025 5.000% 07/01/49 B/e Dtd 11/04/25 Clb Solicited Order Yld 4.202 To Par,purchase,2025-12-01,,250001,500000,"$250,001 - $500,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,339,Downtown Revitalization Pub Infrastructure Dst Utah Sales T Ax Rev 5.250% 06/01/44 B/e Dtd 06/18/25 Clb Solicited Order Yld 4.127 To Par,purchase,2025-12-01,,250001,500000,"$250,001 - $500,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,340,GOLDMAN SACHS GROUP INC PERP 6.1250% 12/31/49,purchase,2025-05-08,,15001,50000,"$15,001 - $50,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,341,GOLDMAN SACHS GROUP INC PERP 6.1250% 12/31/49,purchase,2025-05-08,,1001,15000,"$1,001 - $15,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,342,Douglasville-Douglas Cnty Ga Wtr & Swr Auth Wtr & Swr Rev Bds 2025 5.000% 06/01/49 B/e Dtd 09/30/25 Clb Solicited Order Yld 4.190 To Par,purchase,2025-12-01,,250001,500000,"$250,001 - $500,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,343,Dorchester Cnty S C Sch Dst No 004 Go Bds 2023a 5.000% 03/01/47 B/e Dtd 08/23/23 Clb Solicited Order Yld 4.201 To Par,purchase,2025-12-01,,250001,500000,"$250,001 - $500,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,344,HUNTINGTON BANCHShares INC TI 5.6250% 12/31/49,purchase,2025-05-08,,50001,100000,"$50,001 - $100,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,345,Central Fla Tourism Oversight Dlst Utils Rev Bds 2025-1 5.000% 10/01/44 B/e Dtd 11/25/25 Clb Solicited Order Yld 4.082 To Par,purchase,2025-12-01,,250001,500000,"$250,001 - $500,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,346,HUNTINGTON BANCHShares INC TI 5.6250% 12/31/49,purchase,2025-05-08,,1001,15000,"$1,001 - $15,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,347,HUNTINGTON BANCHSHARES INC TI 4.4500%,purchase,2025-05-08,,1001,15000,"$1,001 - $15,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,348,USF FING CORP FLA C 5% DUE 07/01/35,purchase,2025-12-10,,1000001,5000000,"$1,000,001 - $5,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,349,CHICAGO ILL O HARE 5% DUE 01/01/36,purchase,2025-12-10,,1000001,5000000,"$1,000,001 - $5,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,350,JPMORGAN CHASE & CO PERP NT 6.5000% 12/31/49,purchase,2025-05-08,,250001,500000,"$250,001 - $500,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,351,JPMORGAN CHASE & CO ALT TIER 3.6500% 12/31/49,purchase,2025-05-08,,50001,100000,"$50,001 - $100,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
