file,directory,status,entity_id
"Donald J. Trump 10.20.2025 278-T.pdf","data/raw_pdfs",ok,2591.dc19862e1d825afb43ae41e3cac6187c88cbe1d5
"Donald J. Trump 11.14.2025 278-T.pdf","data/raw_pdfs",ok,2592.873d0b53f70d1598db52fc239e9c075c820b4cf2
"Donald J. Trump 12.18.2025 278-T.pdf","data/raw_pdfs",ok,2593.709581fac1c096a0e31288604479d688a651b965
"Donald J. Trump 2.26.2026 278-T (1).pdf","data/raw_pdfs",ok,2594.a0b038f1c1a9508944f38195680cef4089ae3f21
"Donald J. Trump 2.26.2026 278-T (2).pdf","data/raw_pdfs",ok,2595.3282aeae47c59242706822ae4341d7f30d70543b
"Donald-J-Trump 1.14.2026-278T.pdf","data/raw_pdfs",ok,2596.3f2d0682a53f595e5132ac8d7ec5c281f35dd89a
"Donald-J-Trump-06.25.2026-278T (2).pdf","data/raw_pdfs",ok,2597.2cf82cb8ff2d2d2ec20fdf62f47d469eb310cb2b
"Donald-J-Trump-06.25.2026-278T.pdf","data/raw_pdfs",ok,2598.76f0f9bb29a19b20b54b85fa14cc4fd74625e7f0
"Donald-J-Trump-08.12.2025-278T(2) AMENDED.pdf","data/raw_pdfs",ok,2599.6b98a40af8cc9715a2e994e53a51df2987aad08a
"Donald-J-Trump-08.12.2025-278T(3).pdf","data/raw_pdfs",ok,2600.843c50d04832d38aa0093e6eddf09160ff411a61
"Donald-J-Trump-08.12.2025-278T.pdf","data/raw_pdfs",ok,2601.f24fa2264dee915c46d3e558880c12c5c751e4f6
"Donald-J-Trump-4.20.2026-278T.pdf","data/raw_pdfs",ok,2602.42f4d4e36801c80e325af6bb306da018c888ac2a
"Doug-Burgum-09.18.2025-278T.pdf","data/raw_pdfs",ok,2603.4167d3a735173db1df50751848c9d4ce83a72b97
"Douglas-J-Burgum-02.27.2026-278T.pdf","data/raw_pdfs",ok,2604.300f8928793434d07f9415195c5a736878c1d466
"Douglas-J-Burgum-04.30.2025-278T.pdf","data/raw_pdfs",ok,2605.cb02ad6a19cee98e3568af8e399a196fe564ceed
"Douglas-J-Burgum-06.12.2025-278T.pdf","data/raw_pdfs",ok,2606.406b02ab04c768c96240c02010dcc21b160e7d77
"Douglas-J-Burgum-11.13.2025-278T.pdf","data/raw_pdfs",ok,2607.3e61dc359d47f21257a408a83446cedfa2afc5a7
"Eric-Scott-Turner-01.16.2026-278T.pdf","data/raw_pdfs",ok,2608.65e81f0260b2297282d1c1fc89835f09a99834cd
"Eric-Scott-Turner-03.04.2025-278T.pdf","data/raw_pdfs",ok,2609.ada1b5bff1660b8b4c322dcf13fa443d62712fb1
"Frank-J-Bisignano-02.10.2026-278T.pdf","data/raw_pdfs",ok,2610.a9d749df172545a242eb0e3a8dac466eed110117
"Frank-J-Bisignano-06.26.2025-278T.pdf","data/raw_pdfs",ok,2611.dd285fef4b76ef2c92514dde9d1a478011cd7171
"Frank-J-Bisignano-07.03.2025-278T.pdf","data/raw_pdfs",ok,2612.a7476915c154c40ab19d60e0847db0eadff6174c
"Frank-J-Bisignano-08.08.2025-278T.pdf","data/raw_pdfs",ok,2613.fb3e24e2ca56928592a4e1b489981079ad18eca9
"Frank-J-Bisignano-09.09.2025-278T.pdf","data/raw_pdfs",ok,2614.e885cf0ff7f6b9d06b11a834ee81297fb415e84a
"Howard-Lutnick-06.17.2025-278T.pdf","data/raw_pdfs",ok,2615.bb11913e1e30e80cca959881375d771d50da16b1
"Howard-Lutnick-11.05.2025-278T.pdf","data/raw_pdfs",ok,2616.19d68dbc4e4b0090181055382a4c42e59c494356
"Jared-Isaacman-03.16.2026-278T.pdf","data/raw_pdfs",ok,2617.16f4a8a7d5a8bf0dbc2e3ef4e4c79a4c78b6c14e
"Jared-Isaacman-05.27.2026-278T.pdf","data/raw_pdfs",ok,2618.f6912a34a692f2e67db184ada11eda278151080c
"John-Phelan-01.09.2026-278T.pdf","data/raw_pdfs",ok,2619.ca8d8720beb04da8f91383e70b95e9307cdd7aeb
"John-Phelan-03.12.2026-278T(1).pdf","data/raw_pdfs",ok,2620.c06a99da7899d793426e0b035bc487c5032f4093
"John-Phelan-03.12.2026-278T(2).pdf","data/raw_pdfs",ok,2621.5e8d281025ee4c37d9114d3c00c0e058fb3e1a3c
"John-Phelan-03.12.2026-278T(3).pdf","data/raw_pdfs",ok,2622.5610313d84eecb8435b9e9fca5405b1d6d6a673c
"John-Phelan-03.12.2026-278T.pdf","data/raw_pdfs",ok,2623.cb2446f2fec5200e507f724a21230d07cbafa769
"John-Phelan-05.12.2026-278T(1).pdf","data/raw_pdfs",ok,2624.a95ef1df9aa6235be411362dd2af226c5ce47117
"John-Phelan-05.12.2026-278T.pdf","data/raw_pdfs",ok,2625.92bbbc916595882be3eb0b7975adce9bb33e75d5
"John-Phelan-05.20.2025-278T.pdf","data/raw_pdfs",ok,2626.7425129fa2b62844918f691161576e8060fc7028
"John-Phelan-07.28.2025-278T(2).pdf","data/raw_pdfs",ok,2627.0fb4b3c7e26d119f8109c346d0c3519b8751c07e
"John-Phelan-10.02.2025-278T(2).pdf","data/raw_pdfs",ok,2628.f7c8ee0bd10b4ed5dce4b5af6f7f20361cf4ef44
"John-Phelan-10.02.2025-278T.pdf","data/raw_pdfs",ok,2629.7754d21611153208aef3789f3f05a6408f28a66a
"John-Phelan-11.17.2025-278T(1).pdf","data/raw_pdfs",ok,2630.36e3da6b25ad9984e09cd17ed781475daccf1137
"John-Phelan-11.17.2025-278T(2).pdf","data/raw_pdfs",ok,2631.b3789981ed10559461030125dcc867445c4c302a
