txn_id,official,ticker,date,type,abn_5,timed_5,abn_30,timed_30,abn_90,timed_90
3800,"Trump, Donald J.",WEC,2025-11-05,sale,-0.006235325825227012,0.006235325825227012,-0.05925006008011402,0.05925006008011402,-0.008891949996014725,0.008891949996014725
3801,"Trump, Donald J.",WY,2025-11-05,sale,-0.009894441039876356,0.009894441039876356,-0.03792221436435694,0.03792221436435694,0.17749266754148052,-0.17749266754148052
3803,"Trump, Donald J.",ZTS,2025-11-05,sale,-0.0022523278592339047,0.0022523278592339047,-0.027239938703753852,0.027239938703753852,-0.0003702259197579938,0.0003702259197579938
3806,"Trump, Donald J.",AMZN,2025-11-18,sale,0.009359137752781077,-0.009359137752781077,-0.0059131465741346645,0.0059131465741346645,-0.13371080822890813,0.13371080822890813
3807,"Trump, Donald J.",AMT,2025-11-18,sale,-0.03249328034901211,0.03249328034901211,-0.06481932303110349,0.06481932303110349,0.036359966603515925,-0.036359966603515925
3808,"Trump, Donald J.",ANET,2025-11-18,sale,-0.009753909633442914,0.009753909633442914,-0.015352636733628966,0.015352636733628966,0.11740896456212568,-0.11740896456212568
3810,"Trump, Donald J.",AMD,2025-11-18,sale,-0.12754480209739638,0.12754480209739638,-0.1517571085821553,0.1517571085821553,-0.15570793736192745,0.15570793736192745
3811,"Trump, Donald J.",AXP,2025-11-18,sale,0.041888171196147406,-0.041888171196147406,0.07750054924301586,-0.07750054924301586,-0.023945673970686254,0.023945673970686254
3818,"Trump, Donald J.",BSX,2025-11-18,sale,-0.001065424678179383,0.001065424678179383,-0.05617469796518082,0.05617469796518082,-0.2686552022200278,0.2686552022200278
3819,"Trump, Donald J.",BA,2025-11-18,sale,-0.060549603941277064,0.060549603941277064,0.07346647206386447,-0.07346647206386447,0.24937450372265424,-0.24937450372265424
3823,"Trump, Donald J.",CRWD,2025-11-18,sale,-0.02522277597909839,0.02522277597909839,-0.09571223910555593,0.09571223910555593,-0.23103281770897943,0.23103281770897943
