ticker,awarding_agency,total_award_amount,n_awards
HSDT,Department of Justice,21464.0,1
HSDT,Department of Veterans Affairs,96763.42,3
HUBS,Department of Defense,28800.0,1
HUM,Department of Defense,106418213508.75,9
HWM,Department of Defense,7734158.0,12
IBM,Department of Defense,1605844733.28,4
IBM,Department of Health and Human Services,252171750.2,1
IBM,Department of Homeland Security,1486156026.48,4
IBM,Department of Veterans Affairs,1421279392.32,3
IBM,Department of the Treasury,235783325.88,1
IBM,General Services Administration,226727755.71,1
IBM,Social Security Administration,525446095.96,1
ICLR,Department of Defense,70410655.48,2
ICLR,Department of Health and Human Services,364307582.0,2
ICLR,National Aeronautics and Space Administration,33373727.0,1
IDXX,Department of Agriculture,17095.11,2
IDXX,Department of Defense,15030.85,1
IDXX,Department of Health and Human Services,247918.6,9
IDXX,Department of the Interior,14762.65,2
IDXX,Environmental Protection Agency,8504.72,1
IFNNY,Department of Defense,77827.86,3
INSP,Department of Defense,2018314.19,11
INSP,Department of Veterans Affairs,569969.39,4
IOT,Department of Homeland Security,12709.71,1
IOT,Department of Justice,20534.3,2
IR,Department of Agriculture,8870.0,1
IR,Department of Defense,36661.6,4
IR,Department of Homeland Security,3162.0,1
IR,Department of Veterans Affairs,6698.98,6
IR,Social Security Administration,9072.31,3
ISRG,Department of Defense,14067600.0,3
ISRG,Department of Veterans Affairs,169981820.18,12
IT,Department of Defense,139150866.33,7
IT,Department of Health and Human Services,117465497.24,6
IT,Department of Veterans Affairs,74504535.57,2
JAZZ,Department of Veterans Affairs,7699190.67,15
JCI,Department of State,284919.22,6
JNJ,Department of Defense,152864586.87,12
JPM,Department of Health and Human Services,17053941.97,3
JPM,Department of Justice,12629300.0,3
JPM,General Services Administration,4374138.76,2
JPM,Pension Benefit Guaranty Corporation,7586581.27,2
JPM-PM,Department of Health and Human Services,17053941.97,3
JPM-PM,Department of Housing and Urban Development,2432219.0,1
JPM-PM,Department of Justice,12629300.0,3
JPM-PM,General Services Administration,2187069.38,1
JPM-PM,Pension Benefit Guaranty Corporation,7586581.27,2
KEYS,Department of Commerce,5264623.01,1
KEYS,Department of Defense,100746781.08,13
KEYS,General Services Administration,28948149.18,1
KMI,Department of Defense,193490741.05,4
KMI,Department of Justice,2361.14,2
KMI,Department of State,19970.3,2
KMI,Department of the Interior,51054.4,1
KMTUY,Department of Defense,6649612.42,15
KO,Department of Defense,36783337.05,8
KR,Department of Agriculture,6778.5,2
KR,Department of Defense,13454.0,3
KR,Department of Veterans Affairs,13000.0,2
KWR,Department of Defense,2478151.0,7
LBRT,General Services Administration,3033.22,1
LECO,Department of Defense,5835654.49,13
LECO,Department of Transportation,852900.0,1
LECO,General Services Administration,375095.29,1
LGRDY,Department of State,58886.0,1
LGRDY,Department of Veterans Affairs,79655.0,1
LHX,Department of Commerce,2627613344.86,2
LHX,Department of Defense,7313108637.25,9
LHX,Department of Transportation,1294123163.55,1
LHX,National Aeronautics and Space Administration,2222816478.0,3
LIN,National Aeronautics and Space Administration,150999537.12,5
LMT,Department of Defense,203494838623.47,12
LMT,Department of Energy,68709877401.41,2
LMT,National Aeronautics and Space Administration,15555973334.93,1
LRCX,National Aeronautics and Space Administration,23974.0,3
LW,Department of Agriculture,2333463.71,6
LYFT,Department of Energy,39957.15,1
LYFT,Department of State,30000.0,1
LYFT,Department of Transportation,3558.47,2
LYFT,Department of Veterans Affairs,48923.94,5
LYFT,Department of the Interior,104624.31,2
LYFT,General Services Administration,12500.0,1
MCD,Environmental Protection Agency,27250.0,2
MDT,Department of Veterans Affairs,443533720.68,15
MIELY,Department of Defense,12078061.33,11
MIELY,Department of Transportation,1213315.5,3
MKL,Department of Defense,91697.65,14
MLM,Department of Agriculture,483254.65,1
MLM,Department of Defense,1435081.8,11
MLM,Department of the Interior,114148.52,3
MO,Environmental Protection Agency,42800.0,1
MOD,Department of Defense,15596389.79,9
MRK,Department of Defense,2205000834.0,1
MRK,Department of Health and Human Services,13703450049.67,14
MS,Department of Defense,27155782.73,12
MS,Department of Energy,12065778.0,1
MSFT,Department of Agriculture,75959064.11,1
MSFT,Department of Defense,1525111653.07,14
MSI,Department of Defense,409799668.45,6
MSI,Department of Homeland Security,290085892.63,7
MSI,Department of Justice,122168374.49,2
MSTR,Court Services and Offender Supervision Agency,935000.0,1
MSTR,Department of Defense,3196270.23,4
MSTR,Department of Education,735814.0,1
MSTR,Department of Health and Human Services,2100829.82,1
MSTR,Department of Housing and Urban Development,663139.0,1
MSTR,Department of Justice,5469678.0,7
MU,Department of Defense,3088898.9,7
MU,Department of Health and Human Services,6868.72,1
MU,Department of State,15368.89,1
MU,Department of the Treasury,25104.21,2
